"miRNA"	"4b31b50d-f2ba-4f7e-a49e-0331ea38674a.mirbase21.isoforms.quantification.txt"
"hsa-miR-148b-5p"	1.525998
"hsa-miR-149-3p"	0.254333
"hsa-miR-149-5p"	9.918983
"hsa-miR-150-3p"	1.271665
"hsa-miR-150-5p"	726.629036
"hsa-miR-151a-3p"	1663.845692
"hsa-miR-151a-5p"	105.548145
"hsa-miR-151b"	0.762999
"hsa-miR-152-3p"	193.547321
"hsa-miR-152-5p"	0.762999
"hsa-miR-153-3p"	1.780331
"hsa-miR-153-5p"	12.462311
"hsa-miR-1537-3p"	0.254333
"hsa-miR-1537-5p"	0.254333
"hsa-miR-1538"	0.762999
"hsa-miR-154-3p"	8.647318
"hsa-miR-154-5p"	8.901651
"hsa-miR-155-3p"	1.271665
"hsa-miR-155-5p"	1120.844996
"hsa-miR-15a-5p"	171.929027
"hsa-miR-15b-3p"	25.433288
"hsa-miR-15b-5p"	344.366717
"hsa-miR-16-1-3p"	5.849656
"hsa-miR-16-2-3p"	10.681981
"hsa-miR-16-5p"	384.042646
"hsa-miR-17-3p"	294.008809
"hsa-miR-17-5p"	296.552137
"hsa-miR-181a-2-3p"	1091.851048
"hsa-miR-181a-3p"	438.21555
"hsa-miR-181a-5p"	3367.367314
"hsa-miR-181b-3p"	11.953645
"hsa-miR-181b-5p"	747.48433
"hsa-miR-181c-3p"	109.61747
"hsa-miR-181c-5p"	118.519121
"hsa-miR-181d-5p"	53.155572
"hsa-miR-182-5p"	4466.848346
"hsa-miR-183-3p"	0.254333
"hsa-miR-183-5p"	1532.609927
"hsa-miR-185-3p"	7.375654
"hsa-miR-185-5p"	100.71582
"hsa-miR-186-5p"	177.52435
"hsa-miR-187-3p"	8.901652
"hsa-miR-188-3p"	0.508666
"hsa-miR-188-5p"	1.017332
"hsa-miR-18a-3p"	1.780331
"hsa-miR-18a-5p"	7.375655
"hsa-miR-190a-3p"	0.254333
"hsa-miR-190a-5p"	0.762999
"hsa-miR-190b"	0.254333
"hsa-miR-191-3p"	1.017332
"hsa-miR-191-5p"	646.005512
"hsa-miR-192-3p"	27.213619
"hsa-miR-192-5p"	7368.023491
"hsa-miR-193a-3p"	15.768638
"hsa-miR-193a-5p"	685.681442
"hsa-miR-193b-3p"	51.12091
"hsa-miR-193b-5p"	3.051995
"hsa-miR-194-3p"	15.259974
"hsa-miR-194-5p"	3141.77405
"hsa-miR-195-5p"	14.751307
"hsa-miR-196a-5p"	1.271665
"hsa-miR-196b-5p"	8.392985
"hsa-miR-197-3p"	332.158741
"hsa-miR-1976"	9.66465
"hsa-miR-199a-3p"	2147.586827
"hsa-miR-199a-5p"	739.345678
"hsa-miR-199b-3p"	2144.534832
"hsa-miR-199b-5p"	65.36355
"hsa-miR-19a-3p"	16.277305
"hsa-miR-19b-1-5p"	12.207978
"hsa-miR-19b-3p"	90.796838
"hsa-miR-200a-3p"	287.650487
"hsa-miR-200a-5p"	447.625868
"hsa-miR-200b-3p"	493.660118
"hsa-miR-200b-5p"	15.259973
"hsa-miR-200c-3p"	165.316372
"hsa-miR-200c-5p"	0.762999
"hsa-miR-202-5p"	0.254333
"hsa-miR-203a"	1447.917079
"hsa-miR-203b-3p"	8.138652
"hsa-miR-204-5p"	0.762999
"hsa-miR-205-5p"	0.508666
"hsa-miR-20a-3p"	4.069327
"hsa-miR-20a-5p"	329.615411
"hsa-miR-20b-3p"	0.254333
"hsa-miR-20b-5p"	5.595324
"hsa-miR-21-3p"	2180.141436
"hsa-miR-21-5p"	491190.799258
"hsa-miR-210-3p"	1593.649818
"hsa-miR-210-5p"	1.525998
"hsa-miR-2110"	0.508666
"hsa-miR-2114-5p"	0.254333
"hsa-miR-2115-3p"	1.017332
"hsa-miR-2116-3p"	0.508666
"hsa-miR-2116-5p"	0.508666
"hsa-miR-212-3p"	4.832325
"hsa-miR-212-5p"	0.254333
"hsa-miR-214-3p"	3.560661
"hsa-miR-214-5p"	18.057635
"hsa-miR-215-5p"	47.051584
"hsa-miR-217"	15.514307
"hsa-miR-218-1-3p"	1.017332
"hsa-miR-218-5p"	159.466717
"hsa-miR-219a-1-3p"	2.288996
"hsa-miR-22-3p"	144622.067701
"hsa-miR-22-5p"	57.479231
"hsa-miR-221-3p"	408.458605
"hsa-miR-221-5p"	1.780331
"hsa-miR-222-3p"	86.981846
"hsa-miR-222-5p"	12.207979
"hsa-miR-223-3p"	966.464941
"hsa-miR-223-5p"	3.814995
"hsa-miR-224-3p"	0.762999
"hsa-miR-224-5p"	59.768227
"hsa-miR-2277-5p"	1.017332
"hsa-miR-2355-3p"	4.577993
"hsa-miR-2355-5p"	38.658598
"hsa-miR-23a-3p"	5779.968996
"hsa-miR-23a-5p"	1.780331
"hsa-miR-23b-3p"	895.760399
"hsa-miR-23b-5p"	0.762999
"hsa-miR-24-1-5p"	7.629987
"hsa-miR-24-2-5p"	24.415957
"hsa-miR-24-3p"	1716.746934
"hsa-miR-25-3p"	4349.346557
"hsa-miR-2682-5p"	0.254333
"hsa-miR-26a-1-3p"	0.762999
"hsa-miR-26a-2-3p"	3.560661
"hsa-miR-26a-5p"	1469.789705
"hsa-miR-26b-3p"	17.294637
"hsa-miR-26b-5p"	375.395329
"hsa-miR-27a-3p"	2281.365919
"hsa-miR-27a-5p"	18.057634
"hsa-miR-27b-3p"	1071.250084
"hsa-miR-27b-5p"	7.121321
"hsa-miR-28-3p"	3757.768281
"hsa-miR-28-5p"	121.82545
"hsa-miR-296-3p"	1.780331
"hsa-miR-296-5p"	2.034664
"hsa-miR-299-3p"	5.086658
"hsa-miR-299-5p"	13.733976
"hsa-miR-29a-3p"	7972.31841
"hsa-miR-29a-5p"	13.479644
"hsa-miR-29b-1-5p"	5.340992
"hsa-miR-29b-2-5p"	17.54897
"hsa-miR-29b-3p"	1003.851873
"hsa-miR-29c-3p"	1050.903455
"hsa-miR-29c-5p"	13.733977
"hsa-miR-301a-3p"	6.10399
"hsa-miR-301a-5p"	0.762999
"hsa-miR-301b"	0.508666
"hsa-miR-3064-3p"	0.762999
"hsa-miR-3065-3p"	7.375654
"hsa-miR-3065-5p"	0.254333
"hsa-miR-3074-5p"	2.288996
"hsa-miR-30a-3p"	5304.112181
"hsa-miR-30a-5p"	20203.949538
"hsa-miR-30b-3p"	1.271665
"hsa-miR-30b-5p"	305.962454
"hsa-miR-30c-1-3p"	0.254333
"hsa-miR-30c-2-3p"	60.785559
"hsa-miR-30c-5p"	403.880611
"hsa-miR-30d-3p"	4.832326
"hsa-miR-30d-5p"	5843.297883
"hsa-miR-30e-3p"	3871.200746
"hsa-miR-30e-5p"	3601.099227
"hsa-miR-31-3p"	45.016919
"hsa-miR-31-5p"	53.918572
"hsa-miR-3116"	0.254333
"hsa-miR-3117-3p"	0.254333
"hsa-miR-3127-5p"	2.034663
"hsa-miR-3129-5p"	0.254333
"hsa-miR-3130-3p"	0.762999
"hsa-miR-3130-5p"	3.306328
"hsa-miR-3131"	0.254333
"hsa-miR-3136-5p"	0.254333
"hsa-miR-3137"	0.254333
"hsa-miR-3140-3p"	0.508666
"hsa-miR-3149"	0.508666
"hsa-miR-3150b-3p"	0.762999
"hsa-miR-3152-5p"	1.78033
"hsa-miR-3157-5p"	0.508666
"hsa-miR-3161"	3.051995
"hsa-miR-3170"	1.017332
"hsa-miR-3173-5p"	0.254333
"hsa-miR-3174"	0.254333
"hsa-miR-3176"	0.508666
"hsa-miR-3189-3p"	0.762999
"hsa-miR-3191-3p"	0.508666
"hsa-miR-3191-5p"	0.254333
"hsa-miR-3193"	0.762999
"hsa-miR-3199"	0.254333
"hsa-miR-32-3p"	0.762999
"hsa-miR-32-5p"	26.704953
"hsa-miR-3200-3p"	2.288996
"hsa-miR-320a"	184.645672
"hsa-miR-320b"	2.034664
"hsa-miR-320c"	0.254333
"hsa-miR-323a-3p"	20.600963
"hsa-miR-323b-3p"	14.242642
"hsa-miR-324-3p"	11.44498
"hsa-miR-324-5p"	21.618295
"hsa-miR-326"	4.577993
"hsa-miR-328-3p"	19.837966
"hsa-miR-329-3p"	3.306329
"hsa-miR-330-3p"	1.525998
"hsa-miR-330-5p"	19.583632
"hsa-miR-331-3p"	21.363962
"hsa-miR-331-5p"	3.306329
"hsa-miR-335-3p"	29.248281
"hsa-miR-335-5p"	3.306328
"hsa-miR-337-3p"	63.328889
"hsa-miR-338-3p"	652.618168
"hsa-miR-338-5p"	4.832324
"hsa-miR-339-3p"	3.051996
"hsa-miR-339-5p"	15.514306
"hsa-miR-33a-3p"	1.525998
"hsa-miR-33a-5p"	13.733975
"hsa-miR-33b-3p"	0.508666
"hsa-miR-33b-5p"	1.271665
"hsa-miR-340-3p"	7.629986
"hsa-miR-340-5p"	9.918982
"hsa-miR-342-3p"	101.987485
"hsa-miR-342-5p"	8.901651
"hsa-miR-345-3p"	0.508666
"hsa-miR-345-5p"	9.410316
"hsa-miR-346"	0.254333
"hsa-miR-34a-3p"	1.017332
"hsa-miR-34a-5p"	324.020088
"hsa-miR-34b-3p"	1.017332
"hsa-miR-34b-5p"	1.271665
"hsa-miR-34c-3p"	3.814994
"hsa-miR-34c-5p"	3.814994
"hsa-miR-3605-3p"	1.525998
"hsa-miR-3605-5p"	0.254333
"hsa-miR-3607-3p"	12.20798
"hsa-miR-3609"	0.254333
"hsa-miR-361-3p"	227.373596
"hsa-miR-361-5p"	196.853647
"hsa-miR-3610"	1.271665
"hsa-miR-3611"	0.508666
"hsa-miR-3613-3p"	0.508666
"hsa-miR-3613-5p"	8.138652
"hsa-miR-3614-3p"	1.271665
"hsa-miR-3614-5p"	0.508666
"hsa-miR-3615"	5.595323
"hsa-miR-362-3p"	0.762999
"hsa-miR-362-5p"	2.034664
"hsa-miR-3622b-3p"	0.254333
"hsa-miR-363-3p"	2.797662
"hsa-miR-3652"	0.254333
"hsa-miR-3653"	2.034664
"hsa-miR-3655"	0.254333
"hsa-miR-365a-3p"	35.35227
"hsa-miR-365b-3p"	35.35227
"hsa-miR-365b-5p"	1.017332
"hsa-miR-3661"	0.508666
"hsa-miR-3677-3p"	2.797661
"hsa-miR-3677-5p"	0.508666
"hsa-miR-3678-5p"	0.762999
"hsa-miR-3682-3p"	0.762999
"hsa-miR-3684"	0.762999
"hsa-miR-3688-3p"	0.254333
"hsa-miR-369-3p"	34.334939
"hsa-miR-369-5p"	6.612655
"hsa-miR-3690"	0.508666
"hsa-miR-3691-5p"	0.508666
"hsa-miR-370-3p"	35.606603
"hsa-miR-370-5p"	3.814994
"hsa-miR-372-3p"	0.254333
"hsa-miR-374a-3p"	957.563288
"hsa-miR-374a-5p"	24.924622
"hsa-miR-374b-3p"	1.017332
"hsa-miR-374b-5p"	62.565888
"hsa-miR-375"	1895.797275
"hsa-miR-376a-2-5p"	1.525998
"hsa-miR-376a-3p"	8.138653
"hsa-miR-376a-5p"	1.271665
"hsa-miR-376b-3p"	6.612655
"hsa-miR-376b-5p"	1.780331
"hsa-miR-376c-3p"	28.485283
"hsa-miR-376c-5p"	2.034664
"hsa-miR-377-3p"	3.306328
"hsa-miR-377-5p"	4.069326
"hsa-miR-378a-3p"	247.974556
"hsa-miR-378a-5p"	40.947594
"hsa-miR-378c"	4.069326
"hsa-miR-379-3p"	4.069327
"hsa-miR-379-5p"	2542.565786
"hsa-miR-380-3p"	1.78033
"hsa-miR-380-5p"	1.017332
"hsa-miR-381-3p"	278.748835
"hsa-miR-381-5p"	0.508666
"hsa-miR-382-3p"	8.647318
"hsa-miR-382-5p"	86.473181
"hsa-miR-3909"	0.254333
"hsa-miR-3912-3p"	0.508666
"hsa-miR-3913-5p"	5.08666
"hsa-miR-3917"	0.254333
"hsa-miR-3919"	0.508666
"hsa-miR-3922-3p"	2.034663
"hsa-miR-3928-3p"	0.508666
"hsa-miR-3934-3p"	0.254333
"hsa-miR-3934-5p"	0.254333
"hsa-miR-3940-3p"	0.254333
"hsa-miR-3940-5p"	0.508666
"hsa-miR-3942-5p"	0.762999
"hsa-miR-3944-3p"	0.254333
"hsa-miR-409-3p"	63.328889
"hsa-miR-409-5p"	17.294636
"hsa-miR-410-3p"	35.860936
"hsa-miR-410-5p"	0.254333
"hsa-miR-411-3p"	7.88432
"hsa-miR-411-5p"	23.652959
"hsa-miR-412-3p"	0.508666
"hsa-miR-412-5p"	18.057635
"hsa-miR-421"	0.508666
"hsa-miR-423-3p"	113.686798
"hsa-miR-423-5p"	19.583632
"hsa-miR-424-3p"	1.271665
"hsa-miR-424-5p"	104.022148
"hsa-miR-425-3p"	7.629988
"hsa-miR-425-5p"	99.952823
"hsa-miR-4286"	0.254333
"hsa-miR-429"	81.132188
"hsa-miR-431-3p"	16.785974
"hsa-miR-431-5p"	4.832326
"hsa-miR-432-5p"	33.571941
"hsa-miR-4326"	2.543329
"hsa-miR-433-3p"	3.051995
"hsa-miR-4423-5p"	0.254333
"hsa-miR-4431"	0.762999
"hsa-miR-4442"	0.254333
"hsa-miR-4444"	1.525998
"hsa-miR-4449"	0.254333
"hsa-miR-4454"	0.254333
"hsa-miR-4461"	0.254333
"hsa-miR-4466"	0.254333
"hsa-miR-4473"	0.762999
"hsa-miR-450a-1-3p"	0.254333
"hsa-miR-450a-5p"	7.88432
"hsa-miR-450b-5p"	10.427649
"hsa-miR-4515"	0.254333
"hsa-miR-451a"	57.987897
"hsa-miR-452-3p"	1.78033
"hsa-miR-452-5p"	84.184185
"hsa-miR-4521"	0.254333
"hsa-miR-4523"	0.254333
"hsa-miR-4536-3p"	0.254333
"hsa-miR-454-3p"	5.086658
"hsa-miR-454-5p"	1.017332
"hsa-miR-455-3p"	290.448147
"hsa-miR-455-5p"	34.080607
"hsa-miR-4636"	0.508666
"hsa-miR-4638-3p"	1.525997
"hsa-miR-4640-5p"	0.254333
"hsa-miR-4645-3p"	1.525998
"hsa-miR-4657"	0.508666
"hsa-miR-4660"	0.762999
"hsa-miR-4661-5p"	9.410316
"hsa-miR-4662a-5p"	9.410317
"hsa-miR-4668-3p"	3.051995
"hsa-miR-4676-5p"	0.254333
"hsa-miR-4677-3p"	23.144293
"hsa-miR-4677-5p"	1.017332
"hsa-miR-4684-5p"	0.254333
"hsa-miR-4685-3p"	0.254333
"hsa-miR-4705"	0.254333
"hsa-miR-4707-3p"	0.508666
"hsa-miR-4707-5p"	0.508666
"hsa-miR-4709-3p"	0.508666
"hsa-miR-4724-5p"	0.762999
"hsa-miR-4725-3p"	0.254333
"hsa-miR-4728-3p"	1.525998
"hsa-miR-4735-5p"	0.254333
"hsa-miR-4742-3p"	0.762999
"hsa-miR-4746-5p"	2.797662
"hsa-miR-4750-5p"	0.254333
"hsa-miR-4754"	0.254333
"hsa-miR-4755-3p"	0.254333
"hsa-miR-4758-3p"	0.254333
"hsa-miR-4758-5p"	0.254333
"hsa-miR-4760-5p"	0.254333
"hsa-miR-4762-3p"	0.254333
"hsa-miR-4763-5p"	0.254333
"hsa-miR-4766-3p"	0.508666
"hsa-miR-4768-5p"	0.254333
"hsa-miR-4772-3p"	5.849657
"hsa-miR-4772-5p"	2.034663
"hsa-miR-4775"	0.254333
"hsa-miR-4777-3p"	1.017332
"hsa-miR-4781-3p"	0.254333
"hsa-miR-4782-5p"	0.254333
"hsa-miR-4786-5p"	0.254333
"hsa-miR-4788"	0.254333
"hsa-miR-4795-3p"	0.254333
"hsa-miR-4796-5p"	0.508666
"hsa-miR-4797-3p"	0.762999
"hsa-miR-483-3p"	3.814995
"hsa-miR-483-5p"	5.595324
"hsa-miR-484"	55.190235
"hsa-miR-485-3p"	28.739616
"hsa-miR-486-3p"	2.034664
"hsa-miR-486-5p"	48.831913
"hsa-miR-487a-3p"	1.78033
"hsa-miR-487a-5p"	1.525997
"hsa-miR-487b-3p"	18.311969
"hsa-miR-487b-5p"	0.254333
"hsa-miR-489-3p"	0.254333
"hsa-miR-491-3p"	0.254333
"hsa-miR-491-5p"	1.271665
"hsa-miR-493-3p"	17.803302
"hsa-miR-493-5p"	26.196286
"hsa-miR-494-3p"	4.32366
"hsa-miR-494-5p"	0.762999
"hsa-miR-495-3p"	31.282944
"hsa-miR-496"	6.612656
"hsa-miR-497-5p"	4.832325
"hsa-miR-4999-5p"	0.762999
"hsa-miR-499a-5p"	0.254333
"hsa-miR-5000-3p"	0.762999
"hsa-miR-5001-3p"	0.254333
"hsa-miR-5002-5p"	0.508666
"hsa-miR-5008-3p"	0.508666
"hsa-miR-5008-5p"	0.254333
"hsa-miR-500a-3p"	141.154748
"hsa-miR-500a-5p"	2.288996
"hsa-miR-500b-3p"	0.254333
"hsa-miR-500b-5p"	2.288996
"hsa-miR-501-3p"	23.907292
"hsa-miR-501-5p"	2.797662
"hsa-miR-5010-3p"	0.762999
"hsa-miR-502-3p"	5.595324
"hsa-miR-502-5p"	1.017332
"hsa-miR-503-3p"	0.762999
"hsa-miR-503-5p"	5.595324
"hsa-miR-504-5p"	1.271665
"hsa-miR-505-3p"	33.826273
"hsa-miR-505-5p"	4.323659
"hsa-miR-508-3p"	1.525998
"hsa-miR-509-3p"	0.508666
"hsa-miR-5090"	0.508666
"hsa-miR-511-3p"	0.762999
"hsa-miR-511-5p"	14.751308
"hsa-miR-512-3p"	0.254333
"hsa-miR-514a-3p"	0.508666
"hsa-miR-516b-5p"	0.254333
"hsa-miR-517a-3p"	0.508666
"hsa-miR-517b-3p"	0.508666
"hsa-miR-520f-3p"	0.254333
"hsa-miR-525-3p"	0.254333
"hsa-miR-532-3p"	21.618295
"hsa-miR-532-5p"	567.670984
"hsa-miR-539-3p"	3.306328
"hsa-miR-539-5p"	22.889959
"hsa-miR-541-3p"	1.017332
"hsa-miR-542-3p"	248.228888
"hsa-miR-542-5p"	0.762999
"hsa-miR-543"	6.10399
"hsa-miR-545-5p"	0.508666
"hsa-miR-548au-3p"	0.254333
"hsa-miR-548b-3p"	0.254333
"hsa-miR-548d-3p"	0.762999
"hsa-miR-548e-3p"	0.508666
"hsa-miR-548j-5p"	0.508666
"hsa-miR-548l"	0.254333
"hsa-miR-548o-3p"	0.762999
"hsa-miR-548s"	0.762999
"hsa-miR-548t-5p"	0.254333
"hsa-miR-548v"	1.017332
"hsa-miR-550a-3-5p"	0.508666
"hsa-miR-550a-3p"	1.017332
"hsa-miR-550a-5p"	1.271665
"hsa-miR-551a"	0.254333
"hsa-miR-552-5p"	0.762999
"hsa-miR-556-3p"	0.254333
"hsa-miR-556-5p"	0.254333
"hsa-miR-5579-3p"	1.017332
"hsa-miR-5582-3p"	0.762999
"hsa-miR-5586-5p"	6.612655
"hsa-miR-5589-3p"	0.508666
"hsa-miR-561-5p"	2.034663
"hsa-miR-5698"	0.508666
"hsa-miR-5699-3p"	0.508666
"hsa-miR-5699-5p"	1.017332
"hsa-miR-570-3p"	0.254333
"hsa-miR-570-5p"	0.762999
"hsa-miR-5706"	0.508666
"hsa-miR-574-3p"	89.016508
"hsa-miR-576-5p"	17.803301
"hsa-miR-577"	17.294637
"hsa-miR-579-3p"	0.254333
"hsa-miR-579-5p"	0.254333
"hsa-miR-580-3p"	0.762999
"hsa-miR-581"	0.508666
"hsa-miR-582-3p"	157.940719
"hsa-miR-582-5p"	12.970976
"hsa-miR-584-3p"	1.017332
"hsa-miR-584-5p"	218.726277
"hsa-miR-585-5p"	0.254333
"hsa-miR-589-3p"	1.525998
"hsa-miR-589-5p"	53.155572
"hsa-miR-590-3p"	4.069327
"hsa-miR-590-5p"	16.78597
"hsa-miR-592"	9.66465
"hsa-miR-598-3p"	37.641267
"hsa-miR-605-5p"	1.017332
"hsa-miR-615-3p"	0.254333
"hsa-miR-616-3p"	1.525998
"hsa-miR-616-5p"	1.271665
"hsa-miR-618"	1.780331
"hsa-miR-624-5p"	0.508666
"hsa-miR-625-3p"	128.94677
"hsa-miR-625-5p"	3.560661
"hsa-miR-627-5p"	1.525998
"hsa-miR-628-3p"	0.508666
"hsa-miR-628-5p"	4.577992
"hsa-miR-629-3p"	7.629986
"hsa-miR-629-5p"	112.923799
"hsa-miR-641"	0.254333
"hsa-miR-642a-5p"	3.306328
"hsa-miR-643"	0.254333
"hsa-miR-6501-5p"	0.508666
"hsa-miR-6502-5p"	0.508666
"hsa-miR-6503-5p"	0.762999
"hsa-miR-6509-5p"	2.543329
"hsa-miR-651-5p"	1.78033
"hsa-miR-6510-3p"	0.762999
"hsa-miR-6511b-3p"	0.254333
"hsa-miR-652-3p"	15.259973
"hsa-miR-653-3p"	0.254333
"hsa-miR-653-5p"	11.699313
"hsa-miR-654-3p"	74.773867
"hsa-miR-654-5p"	8.392987
"hsa-miR-655-3p"	8.138653
"hsa-miR-655-5p"	0.254333
"hsa-miR-656-3p"	1.78033
"hsa-miR-658"	0.254333
"hsa-miR-659-5p"	2.288997
"hsa-miR-660-3p"	0.254333
"hsa-miR-660-5p"	38.658598
"hsa-miR-664a-3p"	18.057636
"hsa-miR-664b-3p"	3.051995
"hsa-miR-665"	0.508666
"hsa-miR-668-3p"	0.254333
"hsa-miR-671-3p"	2.034663
"hsa-miR-671-5p"	4.577992
"hsa-miR-6715a-3p"	1.017332
"hsa-miR-6718-5p"	34.334938
"hsa-miR-6720-3p"	0.508666
"hsa-miR-6723-5p"	0.508666
"hsa-miR-6727-5p"	0.254333
"hsa-miR-6728-5p"	0.254333
"hsa-miR-6730-3p"	0.254333
"hsa-miR-6730-5p"	0.508666
"hsa-miR-6731-5p"	0.254333
"hsa-miR-6734-5p"	0.254333
"hsa-miR-6747-3p"	0.254333
"hsa-miR-6748-5p"	0.254333
"hsa-miR-675-3p"	1.271665
"hsa-miR-6755-5p"	1.017332
"hsa-miR-676-3p"	0.762999
"hsa-miR-676-5p"	0.508666
"hsa-miR-6761-5p"	0.508666
"hsa-miR-6779-5p"	0.254333
"hsa-miR-6786-3p"	0.254333
"hsa-miR-6793-3p"	0.254333
"hsa-miR-6793-5p"	0.508666
"hsa-miR-6802-3p"	0.254333
"hsa-miR-6803-3p"	0.254333
"hsa-miR-6805-5p"	0.254333
"hsa-miR-6806-3p"	1.271665
"hsa-miR-6808-3p"	0.254333
"hsa-miR-6810-3p"	0.254333
"hsa-miR-6813-3p"	0.508666
"hsa-miR-6818-3p"	0.254333
"hsa-miR-6820-3p"	0.254333
"hsa-miR-6822-3p"	0.254333
"hsa-miR-6833-3p"	0.254333
"hsa-miR-6837-3p"	0.254333
"hsa-miR-6839-5p"	0.254333
"hsa-miR-6842-3p"	1.78033
"hsa-miR-6842-5p"	0.254333
"hsa-miR-6843-3p"	0.254333
"hsa-miR-6852-5p"	0.254333
"hsa-miR-6854-5p"	1.525998
"hsa-miR-6858-5p"	0.254333
"hsa-miR-6860"	0.508666
"hsa-miR-6875-5p"	0.254333
