"miRNA"	"Count"
"hsa-miR-25-3p"	4.074216
"hsa-miR-25-3p"	0.35428
"hsa-miR-25-3p"	0.35428
"hsa-miR-25-3p"	0.35428
"hsa-miR-25-3p"	1.948538
"hsa-miR-25-3p"	9.211271
"hsa-miR-25-3p"	6352.234034
"hsa-miR-25-3p"	0.17714
"hsa-miR-25-3p"	861.430957
"hsa-miR-25-3p"	96.186924
"hsa-miR-25-3p"	3.011377
"hsa-miR-25-3p"	1.062839
"hsa-miR-25-3p"	3.011377
"hsa-miR-26a-5p"	0.35428
"hsa-miR-26a-5p"	1.771398
"hsa-miR-26a-5p"	60.404679
"hsa-miR-26a-5p"	476.860402
"hsa-miR-26a-5p"	57.747582
"hsa-miR-26a-5p"	311.411808
"hsa-miR-26a-5p"	4.782775
"hsa-miR-26a-5p"	26.570973
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26a-5p"	0.35428
"hsa-miR-26a-5p"	0.35428
"hsa-miR-26a-5p"	0.531419
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26a-5p"	0.35428
"hsa-miR-26a-5p"	1.062839
"hsa-miR-26a-5p"	27.102393
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26a-5p"	3.719936
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26a-5p"	0.35428
"hsa-miR-26a-5p"	308.400431
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26a-5p"	62.176078
"hsa-miR-26a-5p"	469.42053
"hsa-miR-26a-5p"	0.35428
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26a-5p"	64.833175
"hsa-miR-26a-5p"	2.657097
"hsa-miR-26a-5p"	0.17714
"hsa-miR-26b-5p"	0.17714
"hsa-miR-26b-5p"	4.959915
"hsa-miR-26b-5p"	44.107816
"hsa-miR-26b-5p"	81.307179
"hsa-miR-26b-5p"	281.652318
"hsa-miR-26b-5p"	4.782775
"hsa-miR-26b-5p"	0.708559
"hsa-miR-26b-5p"	0.17714
"hsa-miR-27a-3p"	1.417119
"hsa-miR-27a-3p"	0.17714
"hsa-miR-27a-3p"	409.901549
"hsa-miR-27a-3p"	0.17714
"hsa-miR-27a-3p"	930.161208
"hsa-miR-27a-3p"	0.17714
"hsa-miR-27a-3p"	24.622435
"hsa-miR-27a-3p"	15.588304
"hsa-miR-27a-3p"	0.531419
"hsa-miR-27a-3p"	2.834237
"hsa-miR-27a-3p"	0.17714
"hsa-miR-28-5p"	0.885699
"hsa-miR-28-5p"	2.657097
"hsa-miR-28-5p"	6.731313
"hsa-miR-28-5p"	71.564488
"hsa-miR-28-5p"	30.822329
"hsa-miR-28-5p"	2.125678
"hsa-miR-28-5p"	0.17714
"hsa-miR-29a-3p"	0.531419
"hsa-miR-29a-3p"	126.654973
"hsa-miR-29a-3p"	3.365657
"hsa-miR-29a-3p"	0.17714
"hsa-miR-29a-3p"	1075.947282
"hsa-miR-29a-3p"	34.187986
"hsa-miR-29a-3p"	0.17714
"hsa-miR-29a-3p"	0.17714
"hsa-miR-29a-3p"	5006.857083
"hsa-miR-29a-3p"	998.00576
"hsa-miR-29a-3p"	494.397245
"hsa-miR-29a-3p"	180.151199
"hsa-miR-29a-3p"	389.17619
"hsa-miR-29a-3p"	67.135993
"hsa-miR-29a-3p"	6.022754
"hsa-miR-29a-3p"	5.668474
"hsa-miR-29a-3p"	3.188517
"hsa-miR-29a-3p"	1.239979
"hsa-miR-29a-3p"	0.17714
"hsa-miR-30a-5p"	1.239979
"hsa-miR-30a-5p"	0.17714
"hsa-miR-30a-5p"	1.239979
"hsa-miR-30a-5p"	0.17714
"hsa-miR-30a-5p"	0.17714
"hsa-miR-30a-5p"	0.17714
"hsa-miR-30a-5p"	2.302818
"hsa-miR-30a-5p"	79.71292
"hsa-miR-30a-5p"	2737.695957
"hsa-miR-30a-5p"	0.17714
"hsa-miR-30a-5p"	0.35428
"hsa-miR-30a-5p"	1.239979
"hsa-miR-30a-5p"	1.062839
"hsa-miR-30a-5p"	50.13057
"hsa-miR-30a-5p"	8205.825137
"hsa-miR-30a-5p"	0.35428
"hsa-miR-30a-5p"	0.17714
"hsa-miR-30a-5p"	0.531419
"hsa-miR-30a-5p"	0.531419
"hsa-miR-30a-5p"	3.011377
"hsa-miR-30a-5p"	151.985968
"hsa-miR-30a-5p"	51107.318744
