"miRNA"	"Count"
"hsa-let-7e-5p"	2
"hsa-let-7e-5p"	9
"hsa-let-7e-5p"	14
"hsa-let-7e-5p"	357
"hsa-let-7e-5p"	1207
"hsa-let-7e-5p"	2298
"hsa-let-7e-5p"	60
"hsa-let-7e-5p"	7
"hsa-let-7e-3p"	1
"hsa-let-7e-3p"	1
"hsa-let-7e-3p"	3
"hsa-let-7e-3p"	5
"hsa-let-7e-3p"	11
"hsa-let-7e-3p"	1
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	2
"hsa-let-7f-5p"	13
"hsa-let-7f-5p"	24
"hsa-let-7f-5p"	844
"hsa-let-7f-5p"	2685
"hsa-let-7f-5p"	6951
"hsa-let-7f-5p"	32
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	3
"hsa-let-7f-5p"	6
"hsa-let-7f-5p"	6
"hsa-let-7f-1-3p"	1
"hsa-let-7f-1-3p"	4
"hsa-let-7f-1-3p"	10
"hsa-let-7f-2-3p"	2
"hsa-let-7f-2-3p"	1
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	201
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	6942
"hsa-let-7f-5p"	3
"hsa-let-7f-5p"	2540
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	830
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	14
"hsa-let-7f-5p"	17
"hsa-let-7f-5p"	6
"hsa-let-7f-5p"	1
NA	3
NA	1
"hsa-let-7g-3p"	3
"hsa-let-7g-3p"	4
"hsa-let-7g-3p"	123
"hsa-let-7g-3p"	8
"hsa-let-7g-3p"	1
"hsa-let-7g-5p"	1
"hsa-let-7g-5p"	62
"hsa-let-7g-5p"	1
"hsa-let-7g-5p"	5
"hsa-let-7g-5p"	1553
"hsa-let-7g-5p"	6
"hsa-let-7g-5p"	341
"hsa-let-7g-5p"	1
"hsa-let-7g-5p"	66
"hsa-let-7g-5p"	8
"hsa-let-7g-5p"	11
"hsa-let-7g-5p"	1
NA	1
"hsa-let-7i-5p"	4
"hsa-let-7i-5p"	23
"hsa-let-7i-5p"	650
"hsa-let-7i-5p"	353
"hsa-let-7i-5p"	687
"hsa-let-7i-5p"	1
"hsa-let-7i-5p"	1
"hsa-let-7i-5p"	1
"hsa-let-7i-5p"	2
"hsa-let-7i-5p"	1
"hsa-let-7i-3p"	1
"hsa-let-7i-3p"	2
"hsa-let-7i-3p"	134
"hsa-let-7i-3p"	94
"hsa-let-7i-3p"	96
"hsa-miR-1"	1
"hsa-miR-1"	7
"hsa-miR-1"	14
"hsa-miR-1"	2
"hsa-miR-1"	2
"hsa-miR-100-3p"	2
"hsa-miR-100-3p"	1
"hsa-miR-100-3p"	1
"hsa-miR-100-3p"	1
"hsa-miR-100-3p"	6
"hsa-miR-100-3p"	1
"hsa-miR-100-5p"	1
"hsa-miR-100-5p"	13
"hsa-miR-100-5p"	3
"hsa-miR-100-5p"	232
"hsa-miR-100-5p"	1
"hsa-miR-100-5p"	1
"hsa-miR-100-5p"	1
"hsa-miR-100-5p"	2
"hsa-miR-100-5p"	51
"hsa-miR-100-5p"	16522
"hsa-miR-100-5p"	6
"hsa-miR-100-5p"	1
"hsa-miR-100-5p"	4
"hsa-miR-100-5p"	5
"hsa-miR-100-5p"	181
"hsa-miR-100-5p"	42425
"hsa-miR-100-5p"	13
"hsa-miR-100-5p"	1
"hsa-miR-100-5p"	224
"hsa-miR-100-5p"	68
"hsa-miR-100-5p"	1
"hsa-miR-100-5p"	36
"hsa-miR-100-5p"	7
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	1135
"hsa-miR-101-3p"	4
"hsa-miR-101-3p"	1513
"hsa-miR-101-3p"	448
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	4
"hsa-miR-101-3p"	8657
"hsa-miR-101-3p"	5247
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	50
"hsa-miR-101-3p"	71
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	7
"hsa-miR-101-5p"	2
"hsa-miR-101-5p"	2
"hsa-miR-101-5p"	7
NA	1
"hsa-miR-101-3p"	7
"hsa-miR-101-3p"	68
"hsa-miR-101-3p"	5300
"hsa-miR-101-3p"	456
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	3
"hsa-miR-101-3p"	40
"hsa-miR-101-3p"	8696
"hsa-miR-101-3p"	1541
"hsa-miR-101-3p"	1073
"hsa-miR-101-3p"	148
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	2
"hsa-miR-101-3p"	2
"hsa-miR-101-3p"	3
"hsa-miR-103a-3p"	7
"hsa-miR-103a-3p"	159
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	25
"hsa-miR-103a-3p"	4
"hsa-miR-103a-3p"	411
"hsa-miR-103a-3p"	11
"hsa-miR-103a-3p"	24853
"hsa-miR-103a-3p"	4
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	16
"hsa-miR-103a-3p"	4
"hsa-miR-103a-3p"	2797
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	52
"hsa-miR-103a-3p"	4
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	2
NA	10
NA	1
NA	8
NA	9
"hsa-miR-103a-2-5p"	2
"hsa-miR-103a-3p"	4
"hsa-miR-103a-3p"	2
"hsa-miR-103a-3p"	7
"hsa-miR-103a-3p"	112
"hsa-miR-103a-3p"	2705
"hsa-miR-103a-3p"	25063
"hsa-miR-103a-3p"	144
"hsa-miR-103a-3p"	7
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	12
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	19
"hsa-miR-103a-3p"	396
"hsa-miR-103a-3p"	5
"hsa-miR-103a-3p"	2
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	5
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	16
"hsa-miR-103a-3p"	3
"hsa-miR-103a-3p"	2
"hsa-miR-103a-3p"	2
"hsa-miR-103a-3p"	1
"hsa-miR-103a-3p"	1
NA	1
NA	2
"hsa-miR-106a-5p"	2
"hsa-miR-106a-5p"	5
"hsa-miR-106b-3p"	2
"hsa-miR-106b-3p"	1
"hsa-miR-106b-3p"	6
"hsa-miR-106b-3p"	1
"hsa-miR-106b-3p"	676
"hsa-miR-106b-3p"	55
"hsa-miR-106b-3p"	10
"hsa-miR-106b-3p"	88
"hsa-miR-106b-3p"	5
"hsa-miR-106b-3p"	34
"hsa-miR-106b-3p"	14
"hsa-miR-106b-3p"	3
"hsa-miR-106b-3p"	24
"hsa-miR-106b-3p"	5
"hsa-miR-106b-3p"	3
"hsa-miR-106b-5p"	10
"hsa-miR-106b-5p"	232
"hsa-miR-106b-5p"	253
"hsa-miR-106b-5p"	44
