"miRNA"	"88ef0233-d4f6-43ee-aa5f-2bb5089072d5.mirbase21.isoforms.quantification.txt"
"hsa-miR-224-3p"	3.53036
"hsa-miR-224-5p"	111.559389
"hsa-miR-2276-3p"	0.706072
"hsa-miR-2355-3p"	9.178936
"hsa-miR-2355-5p"	38.833964
"hsa-miR-23a-3p"	3689.932682
"hsa-miR-23a-5p"	0.706072
"hsa-miR-23b-3p"	1161.488567
"hsa-miR-23b-5p"	0.706072
"hsa-miR-23c"	2.824288
"hsa-miR-24-1-5p"	19.770017
"hsa-miR-24-2-5p"	21.182163
"hsa-miR-24-3p"	1346.479448
"hsa-miR-25-3p"	14495.659776
"hsa-miR-25-5p"	1.412144
"hsa-miR-26a-1-3p"	1.412144
"hsa-miR-26a-2-3p"	3.53036
"hsa-miR-26a-5p"	2041.960449
"hsa-miR-26b-3p"	16.239657
"hsa-miR-26b-5p"	381.278921
"hsa-miR-27a-3p"	1263.162947
"hsa-miR-27a-5p"	3.53036
"hsa-miR-27b-3p"	1444.623471
"hsa-miR-27b-5p"	17.651801
"hsa-miR-28-3p"	3315.008408
"hsa-miR-28-5p"	93.201514
"hsa-miR-296-3p"	2.118216
"hsa-miR-296-5p"	7.060721
"hsa-miR-299-3p"	2.118216
"hsa-miR-299-5p"	2.118216
"hsa-miR-29a-3p"	9358.27933
"hsa-miR-29a-5p"	6.354648
"hsa-miR-29b-1-5p"	4.236432
"hsa-miR-29b-2-5p"	14.121441
"hsa-miR-29b-3p"	2434.536526
"hsa-miR-29c-3p"	732.196745
"hsa-miR-29c-5p"	9.178937
"hsa-miR-301a-3p"	10.591082
"hsa-miR-301a-5p"	3.53036
"hsa-miR-301b"	0.706072
"hsa-miR-3064-3p"	0.706072
"hsa-miR-3065-3p"	9.885009
"hsa-miR-3074-5p"	6.354649
"hsa-miR-30a-3p"	7160.276948
"hsa-miR-30a-5p"	49720.889707
"hsa-miR-30b-3p"	1.412144
"hsa-miR-30b-5p"	847.992566
"hsa-miR-30c-1-3p"	0.706072
"hsa-miR-30c-2-3p"	19.063946
"hsa-miR-30c-5p"	1170.667505
"hsa-miR-30d-3p"	12.709297
"hsa-miR-30d-5p"	18047.20233
"hsa-miR-30e-3p"	3676.517314
"hsa-miR-30e-5p"	10554.36543
"hsa-miR-31-3p"	0.706072
"hsa-miR-3117-3p"	0.706072
"hsa-miR-3127-5p"	3.53036
"hsa-miR-3130-5p"	7.766792
"hsa-miR-3136-5p"	0.706072
"hsa-miR-3140-3p"	0.706072
"hsa-miR-3157-3p"	0.706072
"hsa-miR-3170"	1.412144
"hsa-miR-3174"	0.706072
"hsa-miR-3177-3p"	0.706072
"hsa-miR-3187-3p"	0.706072
"hsa-miR-3189-3p"	0.706072
"hsa-miR-3190-5p"	0.706072
"hsa-miR-3193"	0.706072
"hsa-miR-3194-3p"	0.706072
"hsa-miR-3199"	0.706072
"hsa-miR-32-5p"	59.310054
"hsa-miR-3200-3p"	2.824288
"hsa-miR-320a"	257.716309
"hsa-miR-320b"	0.706072
"hsa-miR-323a-3p"	5.648577
"hsa-miR-323b-3p"	10.591081
"hsa-miR-324-3p"	7.060721
"hsa-miR-324-5p"	28.948955
"hsa-miR-326"	2.824288
"hsa-miR-328-3p"	25.418594
"hsa-miR-329-3p"	0.706072
"hsa-miR-330-3p"	1.412144
"hsa-miR-330-5p"	21.182162
"hsa-miR-331-3p"	38.127892
"hsa-miR-331-5p"	5.648576
"hsa-miR-335-3p"	153.923714
"hsa-miR-335-5p"	12.709297
"hsa-miR-337-3p"	39.540035
"hsa-miR-338-3p"	1291.405832
"hsa-miR-338-5p"	12.709297
"hsa-miR-339-3p"	2.824288
"hsa-miR-339-5p"	45.894685
"hsa-miR-33a-3p"	2.118216
"hsa-miR-33a-5p"	35.303604
"hsa-miR-33b-5p"	4.236432
"hsa-miR-340-3p"	14.121441
"hsa-miR-340-5p"	19.063946
"hsa-miR-342-3p"	93.201515
"hsa-miR-342-5p"	4.942504
"hsa-miR-345-5p"	2.824288
"hsa-miR-346"	0.706072
"hsa-miR-34a-3p"	0.706072
"hsa-miR-34a-5p"	653.822744
"hsa-miR-34b-3p"	2.824288
"hsa-miR-34b-5p"	2.118216
"hsa-miR-34c-3p"	4.236432
"hsa-miR-34c-5p"	6.354648
"hsa-miR-3591-5p"	1.412144
"hsa-miR-3605-3p"	3.53036
"hsa-miR-3605-5p"	0.706072
"hsa-miR-3607-3p"	19.770017
"hsa-miR-361-3p"	374.2182
"hsa-miR-361-5p"	192.757677
"hsa-miR-3613-5p"	2.824288
"hsa-miR-3615"	21.182162
"hsa-miR-362-3p"	0.706072
"hsa-miR-362-5p"	15.533586
"hsa-miR-363-3p"	9.885009
"hsa-miR-3653"	4.942504
"hsa-miR-3654"	1.412144
"hsa-miR-365a-3p"	40.952182
"hsa-miR-365b-3p"	40.952182
"hsa-miR-3662"	0.706072
"hsa-miR-3664-5p"	0.706072
"hsa-miR-3677-3p"	1.412144
"hsa-miR-3678-3p"	0.706072
"hsa-miR-3678-5p"	0.706072
"hsa-miR-3679-3p"	0.706072
"hsa-miR-3684"	0.706072
"hsa-miR-369-3p"	12.709297
"hsa-miR-369-5p"	2.824288
"hsa-miR-3690"	0.706072
"hsa-miR-370-3p"	2.824288
"hsa-miR-370-5p"	2.824288
"hsa-miR-372-3p"	0.706072
"hsa-miR-374a-3p"	747.730331
"hsa-miR-374a-5p"	27.53681
"hsa-miR-374b-3p"	2.118216
"hsa-miR-374b-5p"	60.016128
"hsa-miR-375"	2042.666522
"hsa-miR-376a-3p"	0.706072
"hsa-miR-376b-3p"	0.706072
"hsa-miR-376b-5p"	0.706072
"hsa-miR-376c-3p"	9.178937
"hsa-miR-376c-5p"	0.706072
"hsa-miR-377-3p"	2.824288
"hsa-miR-377-5p"	0.706072
"hsa-miR-378a-3p"	242.888794
"hsa-miR-378a-5p"	32.479315
"hsa-miR-378c"	5.648576
"hsa-miR-378d"	1.412144
"hsa-miR-379-3p"	0.706072
"hsa-miR-379-5p"	562.033374
"hsa-miR-380-3p"	0.706072
"hsa-miR-380-5p"	0.706072
"hsa-miR-381-3p"	86.140793
"hsa-miR-381-5p"	0.706072
"hsa-miR-382-3p"	3.53036
"hsa-miR-382-5p"	13.415369
"hsa-miR-383-5p"	3.53036
"hsa-miR-3913-5p"	3.53036
"hsa-miR-3928-3p"	2.118216
"hsa-miR-3934-3p"	1.412144
"hsa-miR-3934-5p"	2.118216
"hsa-miR-3940-3p"	2.118216
"hsa-miR-3940-5p"	1.412144
"hsa-miR-409-3p"	19.770017
"hsa-miR-409-5p"	8.472864
"hsa-miR-410-3p"	16.94573
"hsa-miR-411-3p"	0.706072
"hsa-miR-411-5p"	7.766793
"hsa-miR-412-5p"	0.706072
"hsa-miR-421"	1.412144
"hsa-miR-423-3p"	249.243443
"hsa-miR-423-5p"	82.610433
"hsa-miR-424-3p"	0.706072
"hsa-miR-424-5p"	174.399803
"hsa-miR-425-3p"	5.648576
"hsa-miR-425-5p"	110.853316
"hsa-miR-429"	115.795821
"hsa-miR-431-3p"	3.53036
"hsa-miR-431-5p"	3.53036
"hsa-miR-432-3p"	0.706072
"hsa-miR-432-5p"	16.239657
"hsa-miR-4326"	4.236432
"hsa-miR-433-3p"	1.412144
"hsa-miR-4435"	0.706072
"hsa-miR-4442"	1.412144
"hsa-miR-4444"	2.118216
"hsa-miR-4454"	0.706072
"hsa-miR-4461"	0.706072
"hsa-miR-4469"	0.706072
"hsa-miR-4473"	2.824288
"hsa-miR-4474-5p"	0.706072
"hsa-miR-4489"	0.706072
"hsa-miR-449a"	0.706072
"hsa-miR-450a-5p"	6.354648
"hsa-miR-450b-5p"	11.297153
"hsa-miR-451a"	192.051605
"hsa-miR-452-3p"	2.824288
"hsa-miR-452-5p"	57.191836
"hsa-miR-454-3p"	22.594306
"hsa-miR-455-3p"	670.768473
"hsa-miR-455-5p"	91.789369
"hsa-miR-4658"	0.706072
"hsa-miR-4660"	1.412144
"hsa-miR-4661-5p"	1.412144
"hsa-miR-4662a-5p"	9.885009
"hsa-miR-4668-3p"	0.706072
"hsa-miR-4674"	2.118216
"hsa-miR-4676-5p"	0.706072
"hsa-miR-4677-3p"	12.003225
"hsa-miR-4677-5p"	0.706072
"hsa-miR-4709-3p"	0.706072
"hsa-miR-4724-5p"	2.824288
"hsa-miR-4728-3p"	0.706072
"hsa-miR-4735-3p"	0.706072
"hsa-miR-4742-3p"	0.706072
"hsa-miR-4746-5p"	5.648576
"hsa-miR-4754"	0.706072
"hsa-miR-4766-5p"	0.706072
"hsa-miR-4772-3p"	4.942504
"hsa-miR-4791"	0.706072
"hsa-miR-4796-5p"	1.412144
"hsa-miR-4797-3p"	1.412144
"hsa-miR-483-3p"	7.060721
"hsa-miR-483-5p"	7.06072
"hsa-miR-484"	72.725424
"hsa-miR-485-3p"	5.648576
"hsa-miR-485-5p"	0.706072
"hsa-miR-486-5p"	115.089749
"hsa-miR-487a-3p"	3.53036
"hsa-miR-487a-5p"	1.412144
"hsa-miR-487b-3p"	4.942504
"hsa-miR-489-3p"	0.706072
"hsa-miR-491-3p"	1.412144
"hsa-miR-491-5p"	1.412144
"hsa-miR-493-3p"	7.766793
"hsa-miR-493-5p"	12.003225
"hsa-miR-494-3p"	1.412144
"hsa-miR-495-3p"	14.121441
"hsa-miR-496"	2.118216
"hsa-miR-497-5p"	19.063946
"hsa-miR-4999-5p"	0.706072
"hsa-miR-499a-5p"	0.706072
"hsa-miR-5000-3p"	0.706072
"hsa-miR-5003-3p"	0.706072
"hsa-miR-5008-3p"	0.706072
"hsa-miR-500a-3p"	141.920487
"hsa-miR-500a-5p"	4.942504
"hsa-miR-500b-3p"	0.706072
"hsa-miR-500b-5p"	4.942504
"hsa-miR-501-3p"	18.357873
"hsa-miR-501-5p"	1.412144
"hsa-miR-5010-3p"	2.118216
"hsa-miR-502-3p"	6.354648
"hsa-miR-502-5p"	0.706072
"hsa-miR-503-3p"	1.412144
"hsa-miR-503-5p"	16.94573
"hsa-miR-505-3p"	45.894684
"hsa-miR-505-5p"	9.178936
"hsa-miR-508-3p"	1.412144
"hsa-miR-509-3p"	0.706072
"hsa-miR-511-5p"	0.706072
"hsa-miR-512-3p"	1.412144
"hsa-miR-516a-5p"	4.942504
"hsa-miR-516b-5p"	1.412144
"hsa-miR-517a-3p"	4.942504
"hsa-miR-517b-3p"	4.942504
"hsa-miR-518b"	1.412144
"hsa-miR-518c-5p"	2.118216
"hsa-miR-518f-5p"	1.412144
"hsa-miR-519a-5p"	0.706072
"hsa-miR-519b-3p"	0.706072
"hsa-miR-519c-3p"	0.706072
"hsa-miR-519d-3p"	1.412144
"hsa-miR-520a-3p"	2.118216
"hsa-miR-520g-3p"	0.706072
"hsa-miR-523-3p"	0.706072
"hsa-miR-526b-5p"	7.060721
"hsa-miR-532-3p"	25.418595
"hsa-miR-532-5p"	722.311736
"hsa-miR-539-3p"	0.706072
"hsa-miR-539-5p"	9.178937
"hsa-miR-541-3p"	0.706072
"hsa-miR-542-3p"	103.792595
"hsa-miR-542-5p"	2.824288
"hsa-miR-543"	0.706072
"hsa-miR-548b-3p"	0.706072
"hsa-miR-548j-5p"	1.412144
"hsa-miR-548t-5p"	0.706072
"hsa-miR-548v"	3.53036
"hsa-miR-550a-3-5p"	1.412144
"hsa-miR-550a-3p"	7.06072
"hsa-miR-550a-5p"	0.706072
"hsa-miR-551b-3p"	0.706072
"hsa-miR-556-3p"	0.706072
"hsa-miR-5586-5p"	9.885009
"hsa-miR-5589-3p"	0.706072
"hsa-miR-5589-5p"	0.706072
"hsa-miR-561-5p"	1.412144
"hsa-miR-5697"	0.706072
"hsa-miR-570-3p"	1.412144
"hsa-miR-5706"	1.412144
"hsa-miR-574-3p"	71.31328
"hsa-miR-576-5p"	10.59108
"hsa-miR-577"	12.709298
"hsa-miR-579-5p"	1.412144
"hsa-miR-580-3p"	0.706072
"hsa-miR-580-5p"	0.706072
"hsa-miR-581"	0.706072
"hsa-miR-582-3p"	142.62656
"hsa-miR-582-5p"	13.415369
"hsa-miR-584-3p"	3.53036
"hsa-miR-584-5p"	217.470199
"hsa-miR-589-3p"	2.118216
"hsa-miR-589-5p"	98.850091
"hsa-miR-590-3p"	2.118216
"hsa-miR-590-5p"	16.239658
"hsa-miR-592"	192.757677
"hsa-miR-598-3p"	26.124666
"hsa-miR-607"	0.706072
"hsa-miR-6125"	0.706072
"hsa-miR-616-5p"	4.236432
"hsa-miR-618"	4.236432
"hsa-miR-624-5p"	2.118216
"hsa-miR-625-3p"	49.425046
"hsa-miR-625-5p"	0.706072
"hsa-miR-627-5p"	2.118216
"hsa-miR-628-3p"	0.706072
"hsa-miR-628-5p"	6.354648
"hsa-miR-629-3p"	4.236432
"hsa-miR-629-5p"	69.901137
"hsa-miR-632"	0.706072
"hsa-miR-642a-5p"	15.533586
"hsa-miR-643"	1.412144
"hsa-miR-6501-5p"	0.706072
"hsa-miR-6509-5p"	0.706072
"hsa-miR-651-5p"	2.824288
"hsa-miR-6510-3p"	0.706072
"hsa-miR-6511b-3p"	2.118216
"hsa-miR-6514-5p"	1.412144
"hsa-miR-6515-5p"	0.706072
"hsa-miR-652-3p"	12.709297
"hsa-miR-653-3p"	0.706072
"hsa-miR-653-5p"	4.942504
"hsa-miR-654-3p"	31.067171
"hsa-miR-654-5p"	2.824288
"hsa-miR-655-3p"	0.706072
"hsa-miR-656-3p"	0.706072
"hsa-miR-658"	0.706072
"hsa-miR-659-5p"	1.412144
"hsa-miR-660-3p"	0.706072
"hsa-miR-660-5p"	64.252559
"hsa-miR-664a-3p"	72.019352
"hsa-miR-664a-5p"	1.412144
"hsa-miR-664b-3p"	3.53036
"hsa-miR-664b-5p"	1.412144
"hsa-miR-665"	0.706072
"hsa-miR-671-5p"	6.354648
"hsa-miR-6715a-3p"	6.354649
"hsa-miR-6715b-3p"	0.706072
"hsa-miR-6718-5p"	42.364325
"hsa-miR-6734-5p"	0.706072
"hsa-miR-6746-3p"	0.706072
"hsa-miR-6748-5p"	0.706072
"hsa-miR-675-3p"	128.505118
"hsa-miR-6755-5p"	1.412144
"hsa-miR-676-3p"	4.942504
"hsa-miR-6761-3p"	0.706072
"hsa-miR-6761-5p"	1.412144
"hsa-miR-6772-3p"	0.706072
"hsa-miR-6777-5p"	1.412144
"hsa-miR-6802-3p"	0.706072
"hsa-miR-6815-5p"	0.706072
"hsa-miR-6820-3p"	0.706072
"hsa-miR-6820-5p"	0.706072
"hsa-miR-6834-5p"	0.706072
"hsa-miR-6836-5p"	0.706072
"hsa-miR-6837-3p"	2.118216
"hsa-miR-6851-3p"	0.706072
"hsa-miR-6852-5p"	0.706072
"hsa-miR-6854-5p"	2.118216
"hsa-miR-6858-5p"	0.706072
"hsa-miR-6868-3p"	0.706072
"hsa-miR-6877-5p"	0.706072
"hsa-miR-6883-3p"	0.706072
"hsa-miR-6888-3p"	0.706072
"hsa-miR-6894-3p"	0.706072
"hsa-miR-7-1-3p"	31.773244
"hsa-miR-708-3p"	2.824288
"hsa-miR-708-5p"	2.824288
"hsa-miR-744-3p"	7.060721
"hsa-miR-744-5p"	19.063946
"hsa-miR-758-3p"	16.239658
"hsa-miR-758-5p"	3.53036
"hsa-miR-760"	1.412144
"hsa-miR-766-3p"	8.472865
"hsa-miR-769-3p"	0.706072
"hsa-miR-769-5p"	15.533585
"hsa-miR-7705"	0.706072
"hsa-miR-7706"	2.118216
"hsa-miR-7850-5p"	0.706072
"hsa-miR-7974"	2.824288
"hsa-miR-874-3p"	134.859766
"hsa-miR-874-5p"	2.824288
"hsa-miR-877-5p"	0.706072
"hsa-miR-885-3p"	0.706072
"hsa-miR-885-5p"	83.316505
"hsa-miR-887-5p"	0.706072
"hsa-miR-889-3p"	23.300379
"hsa-miR-9-5p"	523.905481
"hsa-miR-92a-1-5p"	2.824288
"hsa-miR-92a-3p"	14658.056351
"hsa-miR-92b-3p"	36.715747
"hsa-miR-92b-5p"	0.706072
"hsa-miR-93-3p"	8.472865
"hsa-miR-93-5p"	8454.507069
"hsa-miR-937-3p"	1.412144
"hsa-miR-939-5p"	2.118216
"hsa-miR-942-3p"	0.706072
"hsa-miR-942-5p"	7.766792
"hsa-miR-944"	0.706072
"hsa-miR-95-3p"	2.118216
"hsa-miR-96-3p"	0.706072
"hsa-miR-96-5p"	41.658252
"hsa-miR-98-5p"	22.594307
"hsa-miR-99a-3p"	1.412144
"hsa-miR-99a-5p"	230.179498
"hsa-miR-99b-3p"	28.948955
"hsa-miR-99b-5p"	9207.179906
